striker,total_matches,total_runs_x,balls_faced,not_outs_as_striker,not_outs_as_non_striker,total_not_outs,total_runs_y,dismissed,average,strike_rate,centuries,half_centuries,thirties,0s,1s,2s,3s,4s,6s
BMAJ Mendis,45.0,494.0,480.0,1.0,4.0,5.0,494.0,40.0,12.35,102.92,0.0,1.0,2.0,222.0,169.0,33.0,1.0,37.0,18.0
BMJ Allison,6.0,17.0,21.0,2.0,1.0,3.0,17.0,3.0,5.67,80.95,0.0,0.0,0.0,8.0,9.0,4.0,0.0,0.0,0.0
BN Cooper,50.0,1163.0,957.0,3.0,9.0,12.0,1163.0,38.0,30.61,121.53,0.0,9.0,8.0,379.0,356.0,74.0,3.0,110.0,35.0
BN Toube,10.0,168.0,178.0,0.0,0.0,0.0,168.0,10.0,16.8,94.38,0.0,0.0,1.0,108.0,34.0,9.0,0.0,23.0,4.0
BNJ Lockrose,6.0,113.0,63.0,3.0,1.0,4.0,113.0,2.0,56.5,179.37,0.0,1.0,0.0,21.0,18.0,6.0,1.0,11.0,6.0
BO Coad,4.0,14.0,25.0,0.0,1.0,1.0,14.0,3.0,4.67,56.0,0.0,0.0,0.0,14.0,8.0,3.0,0.0,0.0,0.0
BOP Fernando,6.0,128.0,120.0,0.0,0.0,0.0,128.0,6.0,21.33,106.67,0.0,1.0,0.0,56.0,38.0,11.0,0.0,11.0,4.0
BP Adapaka,4.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
BP Coburn,5.0,44.0,55.0,1.0,1.0,2.0,44.0,3.0,14.67,80.0,0.0,0.0,0.0,25.0,22.0,5.0,0.0,3.0,0.0
BP Rodden,2.0,11.0,11.0,0.0,0.0,0.0,11.0,2.0,5.5,100.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0
BR Dunk,139.0,3140.0,2457.0,4.0,7.0,11.0,3140.0,128.0,24.53,127.8,0.0,16.0,23.0,922.0,949.0,188.0,18.0,259.0,120.0
BR Hampton,40.0,578.0,482.0,0.0,4.0,4.0,578.0,36.0,16.06,119.92,0.0,2.0,2.0,210.0,170.0,31.0,0.0,40.0,31.0
BR McDermott,136.0,3505.0,2659.0,9.0,11.0,20.0,3505.0,116.0,30.22,131.82,3.0,22.0,23.0,1008.0,1003.0,204.0,18.0,258.0,168.0
BRM Taylor,91.0,1833.0,1537.0,8.0,3.0,11.0,1833.0,80.0,22.91,119.26,0.0,10.0,15.0,584.0,639.0,73.0,8.0,187.0,46.0
BS Dean,1.0,3.0,6.0,0.0,0.0,0.0,3.0,1.0,3.0,50.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
BS Makhanya,37.0,591.0,525.0,3.0,5.0,8.0,591.0,29.0,20.38,112.57,0.0,1.0,5.0,193.0,226.0,45.0,1.0,44.0,16.0
BS Sandhu,1.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,40.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
BS Smith,19.0,416.0,364.0,1.0,2.0,3.0,416.0,16.0,26.0,114.29,0.0,2.0,1.0,163.0,124.0,19.0,2.0,44.0,12.0
BS Stephenson,5.0,74.0,64.0,0.0,1.0,1.0,74.0,4.0,18.5,115.62,0.0,1.0,0.0,30.0,22.0,2.0,0.0,6.0,4.0
BS Wilson,11.0,190.0,153.0,2.0,1.0,3.0,190.0,8.0,23.75,124.18,0.0,0.0,2.0,52.0,70.0,8.0,0.0,17.0,6.0
BT Foakes,49.0,835.0,685.0,3.0,8.0,11.0,835.0,38.0,21.97,121.9,0.0,4.0,3.0,203.0,328.0,68.0,1.0,71.0,14.0
BT Slater,10.0,144.0,126.0,0.0,0.0,0.0,144.0,10.0,14.4,114.29,0.0,0.0,2.0,57.0,42.0,6.0,0.0,18.0,3.0
BTJ Wheal,10.0,31.0,36.0,1.0,7.0,8.0,31.0,2.0,15.5,86.11,0.0,0.0,0.0,17.0,15.0,0.0,0.0,4.0,0.0
BV Save,2.0,16.0,17.0,0.0,0.0,0.0,16.0,2.0,8.0,94.12,0.0,0.0,0.0,11.0,2.0,1.0,0.0,3.0,0.0
BV Sears,7.0,27.0,21.0,1.0,4.0,5.0,27.0,2.0,13.5,128.57,0.0,0.0,0.0,5.0,9.0,4.0,2.0,1.0,0.0
BV Vitori,2.0,8.0,7.0,1.0,1.0,2.0,8.0,0.0,0.0,114.29,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
BW Aitchison,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW Harmison,5.0,23.0,23.0,0.0,3.0,3.0,23.0,2.0,11.5,100.0,0.0,0.0,0.0,10.0,9.0,2.0,0.0,1.0,1.0
BW Hilfenhaus,26.0,156.0,160.0,6.0,5.0,11.0,156.0,15.0,10.4,97.5,0.0,0.0,2.0,80.0,46.0,19.0,0.0,9.0,6.0
BW Sanderson,19.0,63.0,84.0,6.0,8.0,14.0,63.0,5.0,12.6,75.0,0.0,0.0,0.0,41.0,37.0,1.0,0.0,3.0,2.0
BWM Mike,42.0,530.0,367.0,8.0,6.0,14.0,530.0,28.0,18.93,144.41,0.0,0.0,4.0,110.0,158.0,33.0,2.0,42.0,22.0
Babar Ali,3.0,9.0,20.0,0.0,0.0,0.0,9.0,3.0,3.0,45.0,0.0,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0
Babar Azam,203.0,7412.0,5951.0,19.0,8.0,27.0,7412.0,176.0,42.11,124.55,6.0,63.0,36.0,1983.0,2602.0,441.0,20.0,781.0,124.0
Babar Hayat,48.0,1092.0,888.0,6.0,1.0,7.0,1092.0,41.0,26.63,122.97,1.0,6.0,5.0,380.0,308.0,58.0,8.0,80.0,54.0
Bakhtiar Tahiri,5.0,141.0,152.0,0.0,0.0,0.0,141.0,5.0,28.2,92.76,0.0,0.0,2.0,86.0,37.0,11.0,0.0,13.0,5.0
Baljinder Singh,1.0,6.0,9.0,0.0,0.0,0.0,6.0,1.0,6.0,66.67,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0
Baljit Singh,6.0,58.0,54.0,0.0,1.0,1.0,58.0,5.0,11.6,107.41,0.0,0.0,1.0,23.0,18.0,8.0,0.0,3.0,2.0
Bashir Shah,4.0,3.0,7.0,2.0,1.0,3.0,3.0,1.0,3.0,42.86,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
Basil Hameed,37.0,581.0,486.0,5.0,8.0,13.0,581.0,24.0,24.21,119.55,0.0,2.0,6.0,188.0,192.0,46.0,3.0,27.0,30.0
Basil Thampi,7.0,32.0,37.0,3.0,4.0,7.0,32.0,0.0,0.0,86.49,0.0,0.0,0.0,16.0,16.0,3.0,0.0,1.0,1.0
Baz Aybui,3.0,8.0,25.0,1.0,1.0,2.0,8.0,1.0,8.0,32.0,0.0,0.0,0.0,19.0,4.0,2.0,0.0,0.0,0.0
Ben Jones,1.0,40.0,43.0,0.0,0.0,0.0,40.0,1.0,40.0,93.02,0.0,0.0,1.0,16.0,20.0,4.0,0.0,3.0,0.0
Benjamin Constanzo,1.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,12.5,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
Bhumeshswar Jagroo,2.0,4.0,8.0,1.0,0.0,1.0,4.0,1.0,4.0,50.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
Bilal Aftab,2.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,66.67,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Bilal Hassun,11.0,47.0,49.0,2.0,2.0,4.0,47.0,7.0,6.71,95.92,0.0,0.0,0.0,25.0,15.0,3.0,0.0,5.0,1.0
Bilal Khan,13.0,24.0,43.0,2.0,11.0,13.0,24.0,0.0,0.0,55.81,0.0,0.0,0.0,25.0,14.0,3.0,0.0,1.0,0.0
Bilal Masud,2.0,89.0,47.0,0.0,0.0,0.0,89.0,2.0,44.5,189.36,0.0,1.0,0.0,12.0,19.0,4.0,0.0,5.0,7.0
Bilal Muhammad,13.0,159.0,90.0,3.0,1.0,4.0,159.0,9.0,17.67,176.67,0.0,0.0,2.0,29.0,26.0,15.0,1.0,7.0,12.0
Bilal Safdar,8.0,73.0,90.0,1.0,1.0,2.0,73.0,6.0,12.17,81.11,0.0,0.0,1.0,44.0,34.0,4.0,1.0,7.0,0.0
Bilal Tahir,24.0,293.0,237.0,4.0,3.0,7.0,293.0,17.0,17.24,123.63,0.0,0.0,3.0,112.0,76.0,8.0,1.0,21.0,19.0
Bilal Zalmai,3.0,51.0,44.0,0.0,0.0,0.0,51.0,3.0,17.0,115.91,0.0,0.0,0.0,23.0,5.0,9.0,0.0,7.0,0.0
Bilawal Bhatti,9.0,61.0,58.0,1.0,4.0,5.0,61.0,4.0,15.25,105.17,0.0,0.0,0.0,25.0,21.0,6.0,0.0,4.0,2.0
Bipul Sharma,17.0,187.0,124.0,2.0,7.0,9.0,187.0,8.0,23.38,150.81,0.0,0.0,1.0,34.0,51.0,19.0,0.0,11.0,9.0
Bismillah Khan,3.0,55.0,37.0,0.0,0.0,0.0,55.0,3.0,18.33,148.65,0.0,1.0,0.0,17.0,9.0,0.0,0.0,10.0,1.0
Bosco Tuyizere,9.0,91.0,122.0,0.0,1.0,1.0,91.0,8.0,11.38,74.59,0.0,0.0,1.0,64.0,42.0,8.0,1.0,6.0,1.0
Bukhar Illikkal,2.0,5.0,9.0,0.0,0.0,0.0,5.0,2.0,2.5,55.56,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0
C Archibald,2.0,2.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,25.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
C Bah,11.0,85.0,78.0,0.0,1.0,1.0,85.0,10.0,8.5,108.97,0.0,0.0,0.0,35.0,25.0,8.0,0.0,8.0,2.0
C Bayraktar,3.0,26.0,41.0,0.0,0.0,0.0,26.0,3.0,8.67,63.41,0.0,0.0,0.0,29.0,6.0,4.0,0.0,0.0,2.0
C Bisson,8.0,100.0,72.0,0.0,1.0,1.0,100.0,7.0,14.29,138.89,0.0,0.0,1.0,30.0,16.0,13.0,0.0,10.0,3.0
C Bogdanos,3.0,31.0,45.0,0.0,0.0,0.0,31.0,3.0,10.33,68.89,0.0,0.0,0.0,24.0,15.0,4.0,0.0,2.0,0.0
C Bosch,28.0,448.0,411.0,3.0,3.0,6.0,448.0,22.0,20.36,109.0,0.0,2.0,5.0,158.0,175.0,27.0,1.0,42.0,8.0
C Brennan,7.0,78.0,87.0,0.0,0.0,0.0,78.0,7.0,11.14,89.66,0.0,0.0,1.0,47.0,27.0,4.0,1.0,4.0,4.0
C Brown,4.0,46.0,62.0,0.0,0.0,0.0,46.0,4.0,11.5,74.19,0.0,0.0,0.0,36.0,19.0,0.0,1.0,6.0,0.0
C Campher,38.0,720.0,579.0,4.0,4.0,8.0,720.0,30.0,24.0,124.35,0.0,3.0,3.0,206.0,234.0,55.0,5.0,56.0,22.0
C Carter,5.0,55.0,63.0,1.0,0.0,1.0,55.0,4.0,13.75,87.3,0.0,0.0,0.0,25.0,27.0,8.0,0.0,3.0,0.0
C Chatphaisan,7.0,47.0,48.0,0.0,1.0,1.0,47.0,6.0,7.83,97.92,0.0,0.0,0.0,20.0,17.0,8.0,0.0,2.0,1.0
C Chete,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
C Chetty,42.0,927.0,795.0,2.0,4.0,6.0,927.0,36.0,25.75,116.6,0.0,4.0,7.0,305.0,308.0,79.0,3.0,74.0,26.0
C Connolly,2.0,45.0,22.0,0.0,2.0,2.0,45.0,0.0,0.0,204.55,0.0,0.0,0.0,4.0,7.0,5.0,0.0,4.0,2.0
C Dickson,4.0,58.0,62.0,0.0,0.0,0.0,58.0,4.0,14.5,93.55,0.0,0.0,0.0,23.0,30.0,5.0,0.0,3.0,1.0
C Floyd,3.0,24.0,25.0,0.0,2.0,2.0,24.0,1.0,24.0,96.0,0.0,0.0,0.0,14.0,7.0,0.0,1.0,2.0,1.0
C Forbes,9.0,109.0,143.0,0.0,0.0,0.0,109.0,9.0,12.11,76.22,0.0,0.0,1.0,90.0,31.0,6.0,0.0,15.0,1.0
C Fortuin,27.0,463.0,395.0,1.0,3.0,4.0,463.0,23.0,20.13,117.22,0.0,1.0,2.0,165.0,138.0,32.0,3.0,45.0,12.0
C Green,33.0,697.0,472.0,2.0,6.0,8.0,697.0,25.0,27.88,147.67,1.0,4.0,6.0,155.0,187.0,34.0,2.0,64.0,30.0
C Hartmann,14.0,185.0,183.0,4.0,1.0,5.0,185.0,9.0,20.56,101.09,0.0,0.0,2.0,81.0,71.0,13.0,0.0,10.0,8.0
C Hauptfleisch,5.0,69.0,90.0,0.0,0.0,0.0,69.0,5.0,13.8,76.67,0.0,0.0,1.0,49.0,29.0,6.0,0.0,4.0,2.0
C Hemraj,45.0,900.0,805.0,1.0,0.0,1.0,900.0,44.0,20.45,111.8,1.0,2.0,5.0,408.0,235.0,34.0,1.0,84.0,43.0
C Jonker,80.0,1641.0,1343.0,15.0,6.0,21.0,1641.0,59.0,27.81,122.19,0.0,4.0,21.0,559.0,492.0,87.0,3.0,123.0,79.0
C Karunaratne,33.0,291.0,283.0,7.0,8.0,15.0,291.0,18.0,16.17,102.83,0.0,0.0,1.0,129.0,97.0,28.0,2.0,15.0,12.0
C Kellaway,8.0,83.0,70.0,1.0,1.0,2.0,83.0,6.0,13.83,118.57,0.0,0.0,0.0,25.0,27.0,10.0,0.0,6.0,2.0
C Kieswetter,52.0,1359.0,1201.0,2.0,0.0,2.0,1359.0,50.0,27.18,113.16,0.0,12.0,8.0,543.0,408.0,71.0,3.0,128.0,48.0
C Koyana,1.0,20.0,24.0,0.0,1.0,1.0,20.0,0.0,0.0,83.33,0.0,0.0,0.0,10.0,11.0,1.0,1.0,1.0,0.0
C Kyewuta,7.0,38.0,37.0,0.0,2.0,2.0,38.0,5.0,7.6,102.7,0.0,0.0,0.0,18.0,10.0,5.0,0.0,3.0,1.0
C Liebenberg,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C Madan,1.0,15.0,21.0,0.0,0.0,0.0,15.0,1.0,15.0,71.43,0.0,0.0,0.0,15.0,3.0,0.0,0.0,3.0,0.0
C Madande,7.0,60.0,64.0,1.0,1.0,2.0,60.0,5.0,12.0,93.75,0.0,0.0,0.0,27.0,25.0,6.0,1.0,5.0,0.0
C McKerr,7.0,21.0,23.0,1.0,2.0,3.0,21.0,4.0,5.25,91.3,0.0,0.0,0.0,8.0,13.0,0.0,0.0,2.0,0.0
C Munoz-Mills,14.0,166.0,134.0,4.0,0.0,4.0,166.0,10.0,16.6,123.88,0.0,0.0,3.0,55.0,48.0,11.0,0.0,12.0,8.0
C Munro,309.0,8494.0,6237.0,13.0,19.0,32.0,8494.0,277.0,30.66,136.19,5.0,52.0,67.0,2424.0,2295.0,344.0,22.0,733.0,418.0
C Nanda,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C Outerbridge,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
C Overton,41.0,396.0,317.0,5.0,11.0,16.0,396.0,25.0,15.84,124.92,0.0,0.0,2.0,106.0,141.0,29.0,1.0,23.0,17.0
C Pengkumta,9.0,50.0,93.0,0.0,2.0,2.0,50.0,7.0,7.14,53.76,0.0,0.0,0.0,56.0,32.0,1.0,0.0,4.0,0.0
C Pietersen,2.0,7.0,12.0,0.0,0.0,0.0,7.0,2.0,3.5,58.33,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0
C Rububagumya,38.0,419.0,526.0,3.0,2.0,5.0,419.0,33.0,12.7,79.66,0.0,0.0,5.0,271.0,169.0,51.0,5.0,23.0,6.0
C Rumistrzewicz,6.0,17.0,28.0,0.0,2.0,2.0,17.0,4.0,4.25,60.71,0.0,0.0,0.0,14.0,11.0,3.0,0.0,0.0,0.0
C Rushworth,10.0,17.0,34.0,2.0,2.0,4.0,17.0,6.0,2.83,50.0,0.0,0.0,0.0,21.0,11.0,1.0,0.0,1.0,0.0
C Sakariya,8.0,25.0,41.0,1.0,2.0,3.0,25.0,5.0,5.0,60.98,0.0,0.0,0.0,26.0,11.0,1.0,0.0,3.0,0.0
C Seleka,4.0,19.0,31.0,1.0,1.0,2.0,19.0,2.0,9.5,61.29,0.0,0.0,0.0,18.0,11.0,0.0,0.0,2.0,0.0
C Smith,4.0,27.0,29.0,0.0,0.0,0.0,27.0,4.0,6.75,93.1,0.0,0.0,0.0,15.0,9.0,2.0,0.0,2.0,1.0
C Sudarsanan,6.0,24.0,40.0,2.0,1.0,3.0,24.0,3.0,8.0,60.0,0.0,0.0,0.0,23.0,14.0,2.0,0.0,0.0,1.0
C Tlali,7.0,78.0,90.0,0.0,0.0,0.0,78.0,7.0,11.14,86.67,0.0,0.0,0.0,50.0,25.0,6.0,1.0,5.0,3.0
C Tommy,9.0,102.0,130.0,0.0,0.0,0.0,102.0,9.0,11.33,78.46,0.0,0.0,0.0,64.0,48.0,11.0,0.0,5.0,2.0
C Trott,4.0,5.0,12.0,1.0,1.0,2.0,5.0,2.0,2.5,41.67,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0
C Tshiki,3.0,49.0,52.0,0.0,0.0,0.0,49.0,3.0,16.33,94.23,0.0,0.0,1.0,23.0,19.0,6.0,0.0,3.0,1.0
C Udekwe,5.0,24.0,20.0,1.0,1.0,2.0,24.0,3.0,8.0,120.0,0.0,0.0,0.0,9.0,6.0,3.0,0.0,0.0,2.0
C Valente,8.0,84.0,76.0,1.0,3.0,4.0,84.0,4.0,21.0,110.53,0.0,0.0,0.0,31.0,28.0,6.0,2.0,8.0,1.0
C Viljoen,11.0,86.0,95.0,1.0,2.0,3.0,86.0,8.0,10.75,90.53,0.0,0.0,1.0,45.0,36.0,4.0,0.0,9.0,1.0
C Waiswa,2.0,20.0,14.0,1.0,0.0,1.0,20.0,1.0,20.0,142.86,0.0,0.0,0.0,4.0,6.0,2.0,0.0,1.0,1.0
C Webster,4.0,51.0,38.0,0.0,0.0,0.0,51.0,4.0,12.75,134.21,0.0,0.0,1.0,19.0,9.0,3.0,0.0,3.0,4.0
C Wright,11.0,45.0,71.0,2.0,2.0,4.0,45.0,7.0,6.43,63.38,0.0,0.0,0.0,40.0,21.0,8.0,0.0,2.0,0.0
C Zavoiu,6.0,19.0,34.0,0.0,3.0,3.0,19.0,3.0,6.33,55.88,0.0,0.0,0.0,23.0,7.0,1.0,2.0,1.0,0.0
C Zhuwao,4.0,36.0,42.0,0.0,0.0,0.0,36.0,4.0,9.0,85.71,0.0,0.0,0.0,26.0,10.0,0.0,0.0,5.0,1.0
C de Grandhomme,139.0,2345.0,1671.0,10.0,20.0,30.0,2345.0,109.0,21.51,140.34,0.0,9.0,23.0,605.0,633.0,137.0,6.0,160.0,130.0
C le Roux,1.0,8.0,10.0,0.0,1.0,1.0,8.0,0.0,0.0,80.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0
CA Dry,2.0,11.0,12.0,0.0,1.0,1.0,11.0,1.0,11.0,91.67,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0
CA Ingram,273.0,6886.0,5068.0,25.0,16.0,41.0,6886.0,232.0,29.68,135.87,4.0,38.0,41.0,1927.0,1905.0,280.0,19.0,629.0,308.0
CA Keita,4.0,39.0,47.0,0.0,0.0,0.0,39.0,4.0,9.75,82.98,0.0,0.0,1.0,33.0,5.0,3.0,0.0,4.0,2.0
CA Liyanage,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CA Lynn,238.0,6965.0,4953.0,11.0,12.0,23.0,6965.0,215.0,32.4,140.62,5.0,47.0,44.0,2014.0,1663.0,267.0,20.0,613.0,376.0
CA Philipson,2.0,4.0,15.0,0.0,0.0,0.0,4.0,2.0,2.0,26.67,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0
CA Pujara,22.0,390.0,403.0,1.0,2.0,3.0,390.0,19.0,20.53,96.77,0.0,1.0,3.0,200.0,133.0,15.0,1.0,50.0,4.0
CA Rose,20.0,183.0,135.0,2.0,9.0,11.0,183.0,9.0,20.33,135.56,0.0,0.0,1.0,48.0,52.0,12.0,0.0,15.0,7.0
CA Soper,9.0,64.0,76.0,0.0,4.0,4.0,64.0,5.0,12.8,84.21,0.0,0.0,0.0,35.0,32.0,4.0,0.0,3.0,2.0
CA Thyssen,11.0,111.0,112.0,2.0,1.0,3.0,111.0,8.0,13.88,99.11,0.0,0.0,1.0,49.0,45.0,8.0,0.0,5.0,5.0
CA Wakim,2.0,32.0,35.0,0.0,0.0,0.0,32.0,2.0,16.0,91.43,0.0,0.0,0.0,17.0,12.0,3.0,0.0,2.0,1.0
CA Young,19.0,67.0,94.0,0.0,8.0,8.0,67.0,11.0,6.09,71.28,0.0,0.0,0.0,58.0,23.0,6.0,0.0,5.0,2.0
CAH Stevenson,3.0,13.0,19.0,0.0,0.0,0.0,13.0,3.0,4.33,68.42,0.0,0.0,0.0,8.0,9.0,2.0,0.0,0.0,0.0
CAJ Brodrick,4.0,40.0,36.0,0.0,0.0,0.0,40.0,4.0,10.0,111.11,0.0,0.0,0.0,14.0,12.0,6.0,0.0,4.0,0.0
CAJ Meschede,44.0,631.0,481.0,5.0,4.0,9.0,631.0,35.0,18.03,131.19,0.0,1.0,8.0,214.0,148.0,34.0,2.0,44.0,38.0
CAJ Morris,8.0,21.0,24.0,2.0,5.0,7.0,21.0,1.0,21.0,87.5,0.0,0.0,0.0,8.0,13.0,2.0,0.0,1.0,0.0
CAK Rajitha,8.0,31.0,61.0,2.0,3.0,5.0,31.0,3.0,10.33,50.82,0.0,0.0,0.0,39.0,18.0,1.0,1.0,2.0,0.0
CAK Walton,156.0,3188.0,2665.0,7.0,10.0,17.0,3188.0,139.0,22.94,119.62,0.0,13.0,25.0,1216.0,874.0,143.0,4.0,276.0,152.0
CB Cooke,102.0,2061.0,1482.0,15.0,9.0,24.0,2061.0,78.0,26.42,139.07,1.0,5.0,17.0,437.0,692.0,112.0,3.0,146.0,92.0
CB Mpofu,10.0,35.0,43.0,2.0,5.0,7.0,35.0,3.0,11.67,81.4,0.0,0.0,0.0,23.0,15.0,1.0,0.0,3.0,1.0
CB Ondoa,8.0,27.0,91.0,1.0,2.0,3.0,27.0,5.0,5.4,29.67,0.0,0.0,0.0,70.0,17.0,3.0,0.0,1.0,0.0
CB Sole,2.0,6.0,3.0,1.0,1.0,2.0,6.0,0.0,0.0,200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
CBRLS Kumara,5.0,10.0,11.0,0.0,3.0,3.0,10.0,2.0,5.0,90.91,0.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0
CD Barnwell,48.0,584.0,503.0,5.0,9.0,14.0,584.0,34.0,17.18,116.1,0.0,0.0,2.0,206.0,197.0,38.0,1.0,29.0,32.0
CD Fletcher,56.0,1330.0,985.0,12.0,11.0,23.0,1330.0,33.0,40.3,135.03,0.0,9.0,11.0,304.0,450.0,86.0,2.0,78.0,65.0
CD Hartley,9.0,80.0,79.0,2.0,6.0,8.0,80.0,1.0,80.0,101.27,0.0,0.0,0.0,26.0,38.0,9.0,0.0,6.0,0.0
CD Hinchliffe,17.0,98.0,124.0,2.0,4.0,6.0,98.0,11.0,8.91,79.03,0.0,0.0,0.0,54.0,57.0,6.0,1.0,5.0,1.0
CD McMillan,7.0,187.0,119.0,0.0,1.0,1.0,187.0,6.0,31.17,157.14,0.0,1.0,2.0,37.0,49.0,11.0,0.0,8.0,14.0
CD Nash,61.0,1752.0,1332.0,3.0,3.0,6.0,1752.0,55.0,31.85,131.53,1.0,15.0,8.0,510.0,494.0,78.0,1.0,197.0,51.0
CD Wallace,11.0,104.0,108.0,1.0,3.0,4.0,104.0,7.0,14.86,96.3,0.0,0.0,0.0,44.0,50.0,4.0,0.0,7.0,3.0
CD de Lange,3.0,35.0,22.0,0.0,0.0,0.0,35.0,3.0,11.67,159.09,0.0,0.0,0.0,8.0,6.0,3.0,1.0,2.0,2.0
CDJ Dent,53.0,1190.0,869.0,5.0,1.0,6.0,1190.0,47.0,25.32,136.94,0.0,6.0,10.0,334.0,295.0,66.0,5.0,133.0,36.0
CE McConchie,64.0,1275.0,1071.0,7.0,4.0,11.0,1275.0,53.0,24.06,119.05,0.0,6.0,9.0,386.0,440.0,99.0,11.0,103.0,32.0
CE Shreck,1.0,10.0,13.0,0.0,1.0,1.0,10.0,0.0,0.0,76.92,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0
CF Hughes,34.0,616.0,505.0,1.0,1.0,2.0,616.0,32.0,19.25,121.98,0.0,2.0,5.0,205.0,191.0,24.0,3.0,62.0,20.0
CF Parkinson,50.0,267.0,295.0,10.0,17.0,27.0,267.0,23.0,11.61,90.51,0.0,0.0,0.0,111.0,142.0,21.0,1.0,20.0,0.0
CG Benjamin,29.0,639.0,432.0,4.0,2.0,6.0,639.0,23.0,27.78,147.92,0.0,3.0,6.0,142.0,169.0,33.0,2.0,59.0,27.0
CG Harrison,21.0,113.0,100.0,6.0,6.0,12.0,113.0,9.0,12.56,113.0,0.0,0.0,0.0,38.0,41.0,8.0,0.0,11.0,2.0
CG Osborne,2.0,11.0,25.0,0.0,1.0,1.0,11.0,1.0,11.0,44.0,0.0,0.0,0.0,15.0,9.0,1.0,0.0,0.0,0.0
CG Williams,32.0,747.0,701.0,1.0,3.0,4.0,747.0,28.0,26.68,106.56,0.0,5.0,5.0,310.0,250.0,51.0,7.0,62.0,21.0
CH Gayle,414.0,13091.0,9604.0,21.0,29.0,50.0,13091.0,364.0,35.96,136.31,18.0,79.0,73.0,4621.0,2717.0,287.0,9.0,1023.0,946.0
CH Morris,132.0,1654.0,1148.0,24.0,26.0,50.0,1654.0,82.0,20.17,144.08,0.0,3.0,9.0,380.0,455.0,111.0,3.0,113.0,86.0
CJ Alexander,10.0,23.0,39.0,1.0,4.0,5.0,23.0,5.0,4.6,58.97,0.0,0.0,0.0,23.0,13.0,2.0,0.0,0.0,1.0
CJ Anderson,96.0,2042.0,1530.0,9.0,9.0,18.0,2042.0,78.0,26.18,133.46,0.0,9.0,18.0,603.0,563.0,113.0,3.0,122.0,126.0
CJ Borgas,22.0,345.0,318.0,2.0,2.0,4.0,345.0,18.0,19.17,108.49,0.0,0.0,3.0,121.0,132.0,30.0,1.0,27.0,7.0
CJ Bowes,73.0,1910.0,1331.0,1.0,3.0,4.0,1910.0,69.0,27.68,143.5,0.0,15.0,8.0,502.0,449.0,78.0,11.0,237.0,54.0
CJ Boyce,44.0,300.0,269.0,5.0,9.0,14.0,300.0,30.0,10.0,111.52,0.0,1.0,0.0,118.0,104.0,12.0,0.0,19.0,16.0
CJ Briggs,12.0,193.0,171.0,0.0,0.0,0.0,193.0,12.0,16.08,112.87,0.0,1.0,2.0,84.0,49.0,13.0,0.0,16.0,9.0
