striker,total_matches,total_runs_x,balls_faced,not_outs_as_striker,not_outs_as_non_striker,total_not_outs,total_runs_y,dismissed,average,strike_rate,centuries,half_centuries,thirties,0s,1s,2s,3s,4s,6s
Abbas Afridi,6.0,56.0,37.0,2.0,1.0,3.0,56.0,3.0,18.67,151.35,0.0,0.0,0.0,17.0,10.0,1.0,0.0,5.0,4.0
Abbas Ghani,1.0,13.0,8.0,0.0,0.0,0.0,13.0,1.0,13.0,162.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0
Abdul Bangalzai,4.0,15.0,24.0,0.0,0.0,0.0,15.0,4.0,3.75,62.5,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,1.0
Abdul Basith,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdul Hashim,11.0,94.0,103.0,3.0,1.0,4.0,94.0,7.0,13.43,91.26,0.0,0.0,1.0,47.0,37.0,9.0,1.0,9.0,0.0
Abdul Majid,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdul Majid Abbasi,6.0,15.0,27.0,2.0,2.0,4.0,15.0,2.0,7.5,55.56,0.0,0.0,0.0,16.0,9.0,1.0,0.0,1.0,0.0
Abdul Mazid,11.0,148.0,183.0,0.0,0.0,0.0,148.0,11.0,13.45,80.87,0.0,0.0,1.0,88.0,74.0,8.0,0.0,10.0,3.0
Abdul Naser Baluch,1.0,8.0,12.0,0.0,0.0,0.0,8.0,1.0,8.0,66.67,0.0,0.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0
Abdul Nasir,2.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Abdul Rahman,7.0,117.0,119.0,0.0,2.0,2.0,117.0,5.0,23.4,98.32,0.0,1.0,0.0,40.0,63.0,6.0,0.0,9.0,1.0
Abdul Razzaq,36.0,527.0,461.0,7.0,5.0,12.0,527.0,24.0,21.96,114.32,0.0,0.0,3.0,192.0,174.0,40.0,1.0,27.0,27.0
Abdul Samad,27.0,397.0,295.0,3.0,5.0,8.0,397.0,19.0,20.89,134.58,0.0,0.0,3.0,112.0,113.0,23.0,0.0,22.0,25.0
Abdul Shakoor,13.0,178.0,211.0,1.0,2.0,3.0,178.0,10.0,17.8,84.36,0.0,0.0,0.0,95.0,86.0,15.0,0.0,14.0,1.0
Abdul Shakoor (2),4.0,64.0,60.0,1.0,1.0,2.0,64.0,2.0,32.0,106.67,0.0,0.0,1.0,23.0,26.0,4.0,0.0,6.0,1.0
Abdul Stanikzai,4.0,71.0,93.0,0.0,0.0,0.0,71.0,4.0,17.75,76.34,0.0,0.0,0.0,58.0,19.0,9.0,0.0,4.0,3.0
Abdul Waheed,14.0,230.0,229.0,1.0,1.0,2.0,230.0,12.0,19.17,100.44,0.0,1.0,1.0,99.0,88.0,14.0,0.0,27.0,1.0
Abdul Wahid,2.0,82.0,55.0,0.0,2.0,2.0,82.0,0.0,0.0,149.09,0.0,1.0,0.0,21.0,20.0,2.0,0.0,7.0,5.0
Abdul-Shakoor Rahimzei,18.0,262.0,249.0,2.0,1.0,3.0,262.0,15.0,17.47,105.22,0.0,1.0,2.0,119.0,73.0,24.0,5.0,21.0,7.0
Abdulla Bhoola,2.0,7.0,12.0,0.0,1.0,1.0,7.0,1.0,7.0,58.33,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0
Abdullah Akbarjan,12.0,58.0,89.0,1.0,4.0,5.0,58.0,7.0,8.29,65.17,0.0,0.0,0.0,51.0,28.0,6.0,0.0,3.0,1.0
Abdullah Al Mamun,4.0,71.0,82.0,0.0,0.0,0.0,71.0,4.0,17.75,86.59,0.0,0.0,0.0,44.0,27.0,4.0,0.0,3.0,4.0
Abdullah Bayoumy,6.0,28.0,37.0,0.0,0.0,0.0,28.0,6.0,4.67,75.68,0.0,0.0,0.0,15.0,18.0,3.0,0.0,1.0,0.0
Abdullah Jasat,7.0,35.0,30.0,1.0,0.0,1.0,35.0,6.0,5.83,116.67,0.0,0.0,0.0,14.0,9.0,3.0,0.0,2.0,2.0
Abdullah Mahmood,4.0,11.0,13.0,1.0,1.0,2.0,11.0,2.0,5.5,84.62,0.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0
Abdullah Rana,3.0,7.0,7.0,1.0,0.0,1.0,7.0,2.0,3.5,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
Abdullah Shafique,27.0,583.0,451.0,0.0,1.0,1.0,583.0,26.0,22.42,129.27,0.0,3.0,6.0,175.0,170.0,27.0,1.0,56.0,22.0
