bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
Y Nagar,8,72,125,4,10.42,31.25,18.0
Y Prithvi Raj,2,33,57,1,10.36,57.0,33.0
Y Venugopal Rao,20,222,338,7,9.14,48.285714285714285,31.714285714285715
YA Abdulla,17,367,473,21,7.73,22.523809523809526,17.476190476190474
YBK Jaiswal,2,7,17,0,14.57,,
YK Pathan,99,1494,1888,60,7.58,31.466666666666665,24.9
YM Nkanya,30,649,583,49,5.39,11.89795918367347,13.244897959183673
YS Chahal,223,5086,6564,294,7.74,22.3265306122449,17.299319727891156
YSD Seneveratne,3,22,29,0,7.91,,
YYM Jakda,7,124,165,8,7.98,20.625,15.5
Yadwinder Singh,1,12,2,0,1.0,,
Yair Nagavkar,3,64,61,4,5.72,15.25,16.0
Yamin Ahmadzai,5,115,182,8,9.5,22.75,14.375
Yash Dayal,14,293,461,15,9.44,30.733333333333334,19.533333333333335
Yash Singh,6,111,143,5,7.73,28.6,22.2
Yash Talati,1,26,8,3,1.85,2.6666666666666665,8.666666666666666
Yash Thakur,9,207,297,15,8.61,19.8,13.8
Yasim Murtaza,20,443,449,19,6.08,23.63157894736842,23.31578947368421
Yasin Patel,19,435,408,20,5.63,20.4,21.75
Yasir Ali,21,408,404,28,5.94,14.428571428571429,14.571428571428571
Yasir Ali Chowdhury,2,13,23,0,10.62,,
Yasir Arafat,66,1441,1962,92,8.17,21.32608695652174,15.66304347826087
Yasir Mehmood,4,77,85,4,6.62,21.25,19.25
Yasir Mohammad,3,68,88,3,7.76,29.333333333333332,22.666666666666668
Yasir Shah,50,1051,1241,46,7.08,26.97826086956522,22.847826086956523
Yin Chenhao,1,8,5,0,3.75,,
Younis Khan,1,22,20,3,5.45,6.666666666666667,7.333333333333333
Yousif Wali,1,8,18,0,13.5,,
Yousuf Ali,1,6,15,0,15.0,,
Yousuf Zazai,4,99,150,3,9.09,50.0,33.0
Yudhvir Singh,3,50,73,3,8.76,24.333333333333332,16.666666666666668
Yusuf Ebrahim,6,54,98,4,10.89,24.5,13.5
Yuvraj Singh,104,1313,1594,72,7.28,22.13888888888889,18.23611111111111
Z Abbasi,2,25,16,1,3.84,16.0,25.0
Z Abrahams,11,239,343,21,8.61,16.333333333333332,11.380952380952381
Z Bimenyimana,42,819,922,50,6.75,18.44,16.38
Z Burgess,11,221,198,11,5.38,18.0,20.09090909090909
