bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
AP Devcich,44,797,967,37,7.28,26.135135135135137,21.54054054054054
AP Dole,3,73,114,5,9.37,22.8,14.6
AP Palladino,10,206,274,6,7.98,45.666666666666664,34.333333333333336
AP Richardson,1,20,20,1,6.0,20.0,20.0
AR Adams,6,104,148,4,8.54,37.0,26.0
AR Balla,1,8,16,0,12.0,,
AR Beadle,2,48,62,1,7.75,62.0,48.0
AR Cusack,29,542,641,31,7.1,20.677419354838708,17.483870967741936
AR Keath,1,6,27,0,27.0,,
AR McBrine,24,382,462,21,7.26,22.0,18.19047619047619
AR Menon,1,6,12,0,12.0,,
AR Naidoo,1,6,17,0,17.0,,
AR Nedd,10,205,207,9,6.06,23.0,22.77777777777778
AR Nurse,57,943,1209,33,7.69,36.63636363636363,28.575757575757574
AR Patel,177,3711,4521,164,7.31,27.567073170731707,22.628048780487806
AR Patwa,1,6,4,1,4.0,4.0,6.0
AR Puri,17,287,417,13,8.72,32.07692307692308,22.076923076923077
AR Ramjani,22,473,397,44,5.04,9.022727272727273,10.75
AR Schaw,1,14,29,0,12.43,,
AR Swanepoel,22,372,549,18,8.85,30.5,20.666666666666668
AR White,1,25,18,2,4.32,9.0,12.5
AS Abioye,3,49,70,3,8.57,23.333333333333332,16.333333333333332
AS Dale,2,50,74,4,8.88,18.5,12.5
AS Dean,1,12,14,0,7.0,,
AS Hansra,6,91,94,7,6.2,13.428571428571429,13.0
AS Joseph,88,2003,2707,117,8.11,23.136752136752136,17.11965811965812
AS Mehmi,6,92,119,4,7.76,29.75,23.0
AS Rajpoot,29,567,844,24,8.93,35.166666666666664,23.625
AS Raut,5,30,45,0,9.0,,
AS Roy,6,108,131,5,7.28,26.2,21.6
ASF Sirah,4,91,97,7,6.4,13.857142857142858,13.0
ASS Nijjar,37,753,1051,31,8.37,33.903225806451616,24.29032258064516
AT Nidamanuru,4,62,107,2,10.35,53.5,31.0
AT Thomson,24,420,577,21,8.24,27.476190476190474,20.0
ATE Hazeldine,3,60,82,0,8.2,,
AU Rashid,164,3639,4546,189,7.5,24.052910052910054,19.253968253968253
AUK Pathan,3,41,63,0,9.22,,
AV Lalcheta,14,286,358,7,7.51,51.142857142857146,40.857142857142854
AW Finch,16,350,546,14,9.36,39.0,25.0
AW Gorvin,5,98,151,3,9.24,50.333333333333336,32.666666666666664
AW Hawkins-Kay,9,135,168,8,7.47,21.0,16.875
AW McKenzie,16,260,316,18,7.29,17.555555555555557,14.444444444444445
AW O'Brien,22,478,571,22,7.17,25.954545454545453,21.727272727272727
AW Summers,3,74,93,0,7.54,,
AY Patel,56,1235,1560,67,7.58,23.28358208955224,18.432835820895523
Aamer Azmat,1,7,3,0,2.57,,
Aamer Jamal,10,196,339,12,10.38,28.25,16.333333333333332
Aamer Yamin,35,653,918,30,8.43,30.6,21.766666666666666
Aamir Kaleem,25,415,491,30,7.1,16.366666666666667,13.833333333333334
Aamir Lal,3,74,86,6,6.97,14.333333333333334,12.333333333333334
Aarif Sheikh,7,73,83,4,6.82,20.75,18.25
Aaron Beard,11,178,242,11,8.16,22.0,16.181818181818183
Aaron Jones,10,105,134,6,7.66,22.333333333333332,17.5
Aayan Afzal Khan,17,338,332,16,5.89,20.75,21.125
Abbas Afridi,20,409,611,30,8.96,20.366666666666667,13.633333333333333
Abbas Ghani,2,27,17,4,3.78,4.25,6.75
Abdul Bashir,1,24,27,1,6.75,27.0,24.0
Abdul Majid,5,104,105,5,6.06,21.0,20.8
Abdul Majid Abbasi,12,238,255,11,6.43,23.181818181818183,21.636363636363637
Abdul Naser Baluch,2,48,39,4,4.88,9.75,12.0
Abdul Nasir,2,42,42,1,6.0,42.0,42.0
Abdul Razzaq,32,507,649,27,7.68,24.037037037037038,18.77777777777778
Abdul Samad,5,55,113,2,12.33,56.5,27.5
Abdul Waheed,2,18,21,3,7.0,7.0,6.0
Abdul Wahid,3,65,52,8,4.8,6.5,8.125
Abdul-Shakoor Rahimzei,7,103,99,6,5.77,16.5,17.166666666666668
Abdullah Akbarjan,16,329,374,21,6.82,17.80952380952381,15.666666666666666
Abdullah Bayoumy,1,24,43,2,10.75,21.5,12.0
Abdullah Jasat,7,147,179,8,7.31,22.375,18.375
Abdullah Mahmood,9,158,162,10,6.15,16.2,15.8
Abdullah Mazari,1,7,37,0,31.71,,
Abdullah Rana,4,70,89,8,7.63,11.125,8.75
Abdullah Sheikh,4,76,79,2,6.24,39.5,38.0
Abdur Razzak,55,1184,1391,70,7.05,19.87142857142857,16.914285714285715
Abdur Rehman,13,262,312,15,7.15,20.8,17.466666666666665
Abhijeet Ahuja,1,12,8,2,4.0,4.0,6.0
Abhishek Sharma,22,236,345,9,8.77,38.333333333333336,26.22222222222222
Abrar Ahmed,8,179,217,6,7.27,36.166666666666664,29.833333333333332
Absar Khan,1,6,8,1,8.0,8.0,6.0
Abu Hider,68,1313,1773,62,8.1,28.596774193548388,21.177419354838708
Abu Jayed,55,1056,1435,70,8.15,20.5,15.085714285714285
Abubacarr Kuyateh,5,95,108,4,6.82,27.0,23.75
Abul Farhad,4,93,98,9,6.32,10.88888888888889,10.333333333333334
Abul Hasan,41,801,1161,50,8.7,23.22,16.02
Adeel Malik,2,24,42,1,10.5,42.0,24.0
Adil Butt,6,135,157,10,6.98,15.7,13.5
Aditya Panwar,2,24,15,3,3.75,5.0,8.0
Adnan Idrees,12,171,243,13,8.53,18.692307692307693,13.153846153846153
Adnan Mirza,6,105,136,8,7.77,17.0,13.125
Adnan Rasool,2,41,67,0,9.8,,
Adnan Razzaq,2,32,45,2,8.44,22.5,16.0
Adnan Syed,2,28,39,0,8.36,,
Afif Hossain,54,599,795,34,7.96,23.38235294117647,17.61764705882353
Afif Khattak,1,19,25,1,7.89,25.0,19.0
Aftab Ahmed,3,28,45,0,9.64,,
Aftab Alam,20,419,520,22,7.45,23.636363636363637,19.045454545454547
Aftab Hussain,10,241,252,17,6.27,14.823529411764707,14.176470588235293
Aftab Kayani,6,98,101,9,6.18,11.222222222222221,10.88888888888889
Agha Salman,4,25,33,0,7.92,,
Ahmad Khalid Ahmadzai,4,82,94,6,6.88,15.666666666666666,13.666666666666666
Ahmadschah Ahmadzai,1,12,24,2,12.0,12.0,6.0
Ahmadullah Shinwari,9,167,159,8,5.71,19.875,20.875
Ahmed Baladraf,4,78,84,7,6.46,12.0,11.142857142857142
Ahmed Daniyal,13,287,427,11,8.93,38.81818181818182,26.09090909090909
Ahmed Faiz,2,12,18,0,9.0,,
Ahmed Hassan,2,52,49,4,5.65,12.25,13.0
Ahmed Raid,1,12,14,0,7.0,,
Ahmed Raza,49,970,1063,34,6.58,31.264705882352942,28.529411764705884
Ahmed Safi Abdullah,3,48,69,4,8.62,17.25,12.0
Ahmed Shehzad,6,95,156,3,9.85,52.0,31.666666666666668
Ahmed Wardak,7,133,142,10,6.41,14.2,13.3
Ahsan Ali,1,6,9,1,9.0,9.0,6.0
Ahsan Hafeez,1,14,13,0,5.57,,
Ahsan Khan,10,141,235,6,10.0,39.166666666666664,23.5
Ahsan Malik,26,516,673,39,7.83,17.256410256410255,13.23076923076923
Aimal Khan,4,87,165,4,11.38,41.25,21.75
Aizaz Cheema,10,214,257,15,7.21,17.133333333333333,14.266666666666667
Aizaz Khan,59,1235,1481,76,7.2,19.486842105263158,16.25
Akash Babu,1,6,11,0,11.0,,
Akash Deep,7,152,269,7,10.62,38.42857142857143,21.714285714285715
Akash Madhwal,8,160,222,16,8.32,13.875,10.0
Akash Singh,7,141,227,5,9.66,45.4,28.2
Akbar-ur-Rehman,3,24,29,0,7.25,,
Akeem Jordan,3,55,86,5,9.38,17.2,11.0
Akhil Anil,12,233,244,12,6.28,20.333333333333332,19.416666666666668
Akhil Arjunan,2,42,61,2,8.71,30.5,21.0
Akif Javed,15,314,433,19,8.27,22.789473684210527,16.526315789473685
Akif Raja,9,187,227,8,7.28,28.375,23.375
Akramullah Malikzada,2,12,22,1,11.0,22.0,12.0
Aks Swadhin,4,89,133,3,8.97,44.333333333333336,29.666666666666668
Al Islam,6,129,149,7,6.93,21.285714285714285,18.428571428571427
Al-Amin,12,115,184,3,9.6,61.333333333333336,38.333333333333336
Al-Amin Hossain,90,1896,2619,122,8.29,21.4672131147541,15.540983606557377
Alam Nakash,3,37,46,4,7.46,11.5,9.25
Alauddin Babu,16,235,375,12,9.57,31.25,19.583333333333332
Alex Carthew,1,19,12,1,3.79,12.0,19.0
Alexandros Karvelas,3,74,90,2,7.3,45.0,37.0
Alfredo Puentes,1,2,6,0,18.0,,
Ali Abdulla Popalzae,1,18,22,3,7.33,7.333333333333333,6.0
Ali Dawood,11,248,296,13,7.16,22.76923076923077,19.076923076923077
Ali Hasan,5,96,75,7,4.69,10.714285714285714,13.714285714285714
Ali Khan,57,1254,1725,69,8.25,25.0,18.17391304347826
Ali Majid,1,25,33,0,7.92,,
Ali Masood,9,181,238,12,7.89,19.833333333333332,15.083333333333334
Ali Naqi,3,41,46,0,6.73,,
Ali Naseer,13,277,372,14,8.06,26.571428571428573,19.785714285714285
Ali Nayyer,14,341,426,17,7.5,25.058823529411764,20.058823529411764
Ali Shafiq,4,78,93,5,7.15,18.6,15.6
Ali Waqar,5,103,135,3,7.86,45.0,34.333333333333336
Ali Yalmaz,6,101,147,8,8.73,18.375,12.625
Alok Kapali,43,617,823,36,8.0,22.86111111111111,17.13888888888889
Amad Butt,25,481,749,24,9.34,31.208333333333332,20.041666666666668
Aman Hakim Khan,1,6,13,0,13.0,,
Amandeep Singh,6,97,126,6,7.79,21.0,16.166666666666668
Amar Sharma,25,566,706,21,7.48,33.61904761904762,26.952380952380953
Ameel Mauroof,14,175,240,6,8.23,40.0,29.166666666666668
Ameer Saiyed,6,72,105,4,8.75,26.25,18.0
Aminul Islam,9,162,198,7,7.33,28.285714285714285,23.142857142857142
Aminul Islam Biplob,7,139,176,11,7.6,16.0,12.636363636363637
Amir Ali,5,55,69,1,7.53,69.0,55.0
Amir Hamza,46,943,1066,45,6.78,23.68888888888889,20.955555555555556
Amir Hayat,4,86,106,7,7.4,15.142857142857142,12.285714285714286
Amir Mangal,1,18,17,1,5.67,17.0,18.0
Amir Zaib,4,39,60,4,9.23,15.0,9.75
Amit Kumar,3,36,56,1,9.33,56.0,36.0
Amit Uniyal,2,31,31,1,6.0,31.0,31.0
Amjad Javed,22,461,578,36,7.52,16.055555555555557,12.805555555555555
Amjad Mahboob,26,547,740,36,8.12,20.555555555555557,15.194444444444445
Amjad Sher,16,368,386,23,6.29,16.782608695652176,16.0
Ammad Uddin,1,6,10,0,10.0,,
Ammar Khalid,7,164,176,13,6.44,13.538461538461538,12.615384615384615
Amoluk Singh,10,131,136,7,6.23,19.428571428571427,18.714285714285715
Anand Rajan,8,162,206,10,7.63,20.6,16.2
Anas Khan,4,83,78,6,5.64,13.0,13.833333333333334
Anasim Khan,5,111,145,6,7.84,24.166666666666668,18.5
Andre Jarju,5,80,120,1,9.0,120.0,80.0
Anik Ahmed,4,57,76,2,8.0,38.0,28.5
Anique Uddin,7,80,101,6,7.57,16.833333333333332,13.333333333333334
Ankit Dubey,2,33,23,3,4.18,7.666666666666667,11.0
Ankit Sharma,21,375,453,12,7.25,37.75,31.25
Ankit Soni,6,112,145,4,7.77,36.25,28.0
Anmoldeep Singh,4,41,70,0,10.24,,
Anoop Orsu,3,34,53,1,9.35,53.0,34.0
Anowarul Islam,2,21,25,0,7.14,,
Ansar Iqbal,2,13,17,0,7.85,,
Anshuman Rath,12,179,242,6,8.11,40.333333333333336,29.833333333333332
Anuj Dal,1,6,8,0,8.0,,
Anureet Singh,22,430,636,21,8.87,30.285714285714285,20.476190476190474
Anwar Ali,65,1234,1776,52,8.64,34.15384615384615,23.73076923076923
Anwar Rahman,17,331,333,22,6.04,15.136363636363637,15.045454545454545
Aphsal Ashraf,1,24,35,2,8.75,17.5,12.0
Aqib Ilyas,15,272,274,15,6.04,18.266666666666666,18.133333333333333
Aqib Iqbal,20,446,468,24,6.3,19.5,18.583333333333332
Arafat Minhas,3,50,50,4,6.0,12.5,12.5
Arafat Sunny,79,1516,1712,90,6.78,19.022222222222222,16.844444444444445
Ariful Haque,8,71,120,4,10.14,30.0,17.75
Arish Ali,2,43,64,4,8.93,16.0,10.75
Arjun Tendulkar,4,68,95,4,8.38,23.75,17.0
Arjun Vinod,13,156,229,4,8.81,57.25,39.0
Arsalan Ahmed,3,42,67,3,9.57,22.333333333333332,14.0
Arsalan Qadir,1,6,12,0,12.0,,
Arshad Iqbal,27,574,838,32,8.76,26.1875,17.9375
Arshad Khan,6,97,192,5,11.88,38.4,19.4
Arshdeep Singh,87,1913,2622,122,8.22,21.491803278688526,15.680327868852459
Arslan Amjad,3,29,49,1,10.14,49.0,29.0
Aryan Lakra,2,36,38,2,6.33,19.0,18.0
Asad Ali,2,28,33,0,7.07,,
Asad Ali Rehemtulla,15,297,417,18,8.42,23.166666666666668,16.5
Asad Mohammad,7,111,132,4,7.14,33.0,27.75
Asghar Stanikzai,2,8,12,2,9.0,6.0,4.0
Ashar Zaidi,43,683,802,34,7.05,23.58823529411765,20.08823529411765
Ashfaq Ahmed,2,37,34,2,5.51,17.0,18.5
Ashiqullah Said,8,183,159,12,5.21,13.25,15.25
Ashiqur Zaman,2,46,76,0,9.91,,
Ashir Qureshi,2,42,62,1,8.86,62.0,42.0
Ashish Rana,2,32,29,3,5.44,9.666666666666666,10.666666666666666
Ashraful Shuvo,3,40,46,0,6.9,,
Ashwin Vinod,13,306,318,18,6.24,17.666666666666668,17.0
Asif Afridi,5,115,125,8,6.52,15.625,14.375
Asif Ahmed,10,119,164,4,8.27,41.0,29.75
Asif Ali,1,18,27,2,9.0,13.5,9.0
Asif Bevinje,6,145,179,10,7.41,17.9,14.5
Asif Hasan,5,84,92,2,6.57,46.0,42.0
Asif Iqbal,2,30,42,4,8.4,10.5,7.5
Aslam Mohammad,5,91,107,5,7.05,21.4,18.2
Asrar Ahmed,3,68,117,3,10.32,39.0,22.666666666666668
Assad Borham,1,6,12,0,12.0,,
Assad Mehmood,2,43,29,1,4.05,29.0,43.0
Aswad Khan,1,8,14,0,10.5,,
Ateeq Iqbal,1,6,6,0,6.0,,
Athar Mahmood,3,48,50,0,6.25,,
Atif Ali Khan,1,24,45,1,11.25,45.0,24.0
Atif Kamal,9,159,183,13,6.91,14.076923076923077,12.23076923076923
Atif Mehmood,16,314,291,16,5.56,18.1875,19.625
Atif Rasheed,2,12,26,0,13.0,,
Atif-Ur-Rehman,9,192,187,10,5.84,18.7,19.2
Aung Ko Ko,2,31,36,2,6.97,18.0,15.5
Avesh Khan,62,1361,1951,76,8.6,25.67105263157895,17.907894736842106
Avi Dixit,1,7,15,0,12.86,,
Awais Ikram,2,43,71,3,9.91,23.666666666666668,14.333333333333334
Awais Zia,1,1,4,0,24.0,,
Ayan Khan,13,174,205,5,7.07,41.0,34.8
Ayyaz Qureshi,3,70,99,5,8.49,19.8,14.0
Azam Khalil,9,189,181,9,5.75,20.11111111111111,21.0
Azeem Rafiq,44,909,1184,57,7.82,20.771929824561404,15.947368421052632
Azhar Ali,2,30,30,0,6.0,,
Azhar Mahmood,84,1924,2399,114,7.48,21.04385964912281,16.87719298245614
Azharullah,43,845,1259,48,8.94,26.229166666666668,17.604166666666668
Aziz Mohammad,4,60,72,3,7.2,24.0,20.0
Aziz Sualley,6,101,106,5,6.3,21.2,20.2
Azmat Ali,1,8,10,0,7.5,,
Azmatullah Omarzai,43,805,1120,45,8.35,24.88888888888889,17.88888888888889
Azyan Farhath,4,75,60,9,4.8,6.666666666666667,8.333333333333334
B Akhil,13,193,246,7,7.65,35.142857142857146,27.571428571428573
B Arora,28,500,595,17,7.14,35.0,29.41176470588235
B Chipli,1,6,20,0,20.0,,
B Doggett,41,813,1087,42,8.02,25.88095238095238,19.357142857142858
B Dugic,5,77,138,1,10.75,138.0,77.0
B Evans,8,145,190,7,7.86,27.142857142857142,20.714285714285715
B Fernando,12,251,329,13,7.86,25.307692307692307,19.307692307692307
B Geeves,3,70,126,4,10.8,31.5,17.5
B George,5,78,118,2,9.08,59.0,39.0
B Isaac,1,7,15,0,12.86,,
B Jerkovic,4,50,89,4,10.68,22.25,12.5
B Kalki Kumar,2,33,42,0,7.64,,
B Karki,1,24,11,1,2.75,11.0,24.0
B Kgosiemang,6,72,114,3,9.5,38.0,24.0
B Khumalo,11,163,190,6,6.99,31.666666666666668,27.166666666666668
B Kumar,246,5570,6634,281,7.15,23.608540925266905,19.822064056939503
B Laughlin,122,2606,3583,157,8.25,22.821656050955415,16.598726114649683
B Lee,97,2355,2863,101,7.29,28.346534653465348,23.316831683168317
B Maphosa,6,92,118,1,7.7,118.0,92.0
B Masaba,17,264,249,18,5.66,13.833333333333334,14.666666666666666
B Mavuta,11,212,273,4,7.73,68.25,53.0
B Muzarabani,49,1095,1469,60,8.05,24.483333333333334,18.25
B Niaz,6,108,105,10,5.83,10.5,10.8
B Parsons,7,107,118,6,6.62,19.666666666666668,17.833333333333332
B Pondani,3,60,73,2,7.3,36.5,30.0
B Regmi,16,331,360,23,6.53,15.652173913043478,14.391304347826088
B Schuster,2,26,30,1,6.92,30.0,26.0
B Shikongo,24,360,390,20,6.5,19.5,18.0
B Stanlake,76,1682,2190,86,7.81,25.46511627906977,19.558139534883722
B Swanepoel,4,67,79,5,7.07,15.8,13.4
B Terbish,1,7,27,0,23.14,,
B Ward,24,525,512,34,5.85,15.058823529411764,15.441176470588236
B Wheeler-Greenall,2,30,41,2,8.2,20.5,15.0
B White,19,418,531,22,7.62,24.136363636363637,19.0
B Williams,1,6,13,0,13.0,,
B Xenxe,7,165,205,19,7.45,10.789473684210526,8.68421052631579
B Yadav,5,40,58,1,8.7,58.0,40.0
BA Bhatt,15,303,408,13,8.08,31.384615384615383,23.307692307692307
BA Carse,46,866,1244,30,8.62,41.46666666666667,28.866666666666667
BA Hutton,9,178,258,7,8.7,36.857142857142854,25.428571428571427
BA Pai,28,582,643,28,6.63,22.964285714285715,20.785714285714285
BA Raine,94,1859,2586,108,8.35,23.944444444444443,17.212962962962962
BA Stokes,94,1711,2379,83,8.34,28.662650602409638,20.6144578313253
BAA Zammitt,1,6,10,0,10.0,,
BAC Howell,137,2987,3593,164,7.22,21.908536585365855,18.213414634146343
BAD Manenti,31,590,745,23,7.58,32.391304347826086,25.652173913043477
BAW Mendis,55,1271,1466,79,6.92,18.556962025316455,16.088607594936708
BB McCullum,1,7,13,0,11.14,,
BB Sran,26,569,813,26,8.57,31.26923076923077,21.884615384615383
BC Cullen,23,486,719,32,8.88,22.46875,15.1875
BC Fortuin,71,1482,1682,82,6.81,20.51219512195122,18.073170731707318
BCJ Cutting,159,2700,3946,134,8.77,29.44776119402985,20.149253731343283
BD Cotton,17,322,486,20,9.06,24.3,16.1
BD Glover,42,827,1042,51,7.56,20.431372549019606,16.215686274509803
BD Walters,41,702,909,25,7.77,36.36,28.08
BDH Stevens,9,147,161,10,6.57,16.1,14.7
BE Hendricks,78,1779,2360,111,7.96,21.26126126126126,16.027027027027028
BE Johnson,1,12,36,0,18.0,,
BE McGain,3,60,114,2,11.4,57.0,30.0
BE Young,4,84,103,5,7.36,20.6,16.8
BFW de Leede,30,506,698,33,8.28,21.151515151515152,15.333333333333334
BG Charlesworth,3,48,95,1,11.88,95.0,48.0
BG Drew,2,50,65,3,7.8,21.666666666666668,16.666666666666668
BG Lister,48,1066,1399,54,7.87,25.90740740740741,19.74074074074074
BG McDonald,1,18,28,1,9.33,28.0,18.0
BG Randell,25,523,807,30,9.26,26.9,17.433333333333334
BG Whitehead,6,123,144,6,7.02,24.0,20.5
BGF Green,45,835,1231,61,8.85,20.18032786885246,13.688524590163935
BI Kellaway,2,12,18,0,9.0,,
BJ Arnel,8,175,313,6,10.73,52.166666666666664,29.166666666666668
BJ Currie,12,221,225,18,6.11,12.5,12.277777777777779
BJ Diamanti,1,12,20,0,10.0,,
BJ Dwarshuis,107,2386,3248,138,8.17,23.536231884057973,17.28985507246377
BJ Hodge,32,368,487,23,7.94,21.17391304347826,16.0
BJ Horne,1,25,46,2,11.04,23.0,12.5
BJ McCarthy,57,1241,1732,67,8.37,25.850746268656717,18.52238805970149
BJ McMullen,4,37,58,1,9.41,58.0,37.0
BJ Rohrer,1,7,12,0,10.29,,
BJ Small,13,256,362,12,8.48,30.166666666666668,21.333333333333332
BJ Taylor,8,104,136,5,7.85,27.2,20.8
BJ Webster,26,418,500,9,7.18,55.55555555555556,46.44444444444444
BK Stroud,4,62,74,2,7.16,37.0,31.0
BL Couch,15,290,401,19,8.3,21.105263157894736,15.263157894736842
BL D'Oliveira,97,1622,2062,75,7.63,27.493333333333332,21.626666666666665
BM Dolley,1,18,20,1,6.67,20.0,18.0
BM Edmondson,19,445,658,26,8.87,25.307692307692307,17.115384615384617
BM Johnson,3,42,69,1,9.86,69.0,42.0
BM Scholtz,42,869,854,49,5.9,17.428571428571427,17.73469387755102
BM Tickner,67,1500,2144,100,8.58,21.44,15.0
BM Wheeler,38,880,1251,38,8.53,32.921052631578945,23.157894736842106
BMAJ Mendis,42,699,835,46,7.17,18.152173913043477,15.195652173913043
BMJ Allison,18,293,481,15,9.85,32.06666666666667,19.533333333333335
BN Toube,8,168,239,9,8.54,26.555555555555557,18.666666666666668
BNJ Lockrose,11,258,324,9,7.53,36.0,28.666666666666668
BO Coad,11,209,328,14,9.42,23.428571428571427,14.928571428571429
BP Adapaka,11,234,274,10,7.03,27.4,23.4
BP Coburn,16,298,412,12,8.3,34.333333333333336,24.833333333333332
BR Dunk,7,77,118,3,9.19,39.333333333333336,25.666666666666668
BR Hampton,18,234,293,22,7.51,13.318181818181818,10.636363636363637
BRM Taylor,2,30,21,1,4.2,21.0,30.0
BS Dean,1,18,30,1,10.0,30.0,18.0
BS Makhanya,14,174,253,1,8.72,253.0,174.0
BS Stephenson,2,41,77,3,11.27,25.666666666666668,13.666666666666666
BTJ Wheal,49,1026,1452,68,8.49,21.352941176470587,15.088235294117647
BV Sears,28,544,680,35,7.5,19.428571428571427,15.542857142857143
BV Vitori,11,253,329,5,7.8,65.8,50.6
BW Aitchison,2,45,96,2,12.8,48.0,22.5
BW Harmison,5,92,168,7,10.96,24.0,13.142857142857142
BW Hilfenhaus,65,1462,1920,80,7.88,24.0,18.275
BW Sanderson,71,1446,2117,85,8.78,24.905882352941177,17.011764705882353
BWM Mike,43,691,1136,43,9.86,26.41860465116279,16.069767441860463
Bakhtiar Tahiri,6,86,130,3,9.07,43.333333333333336,28.666666666666668
Baljinder Singh,1,18,29,1,9.67,29.0,18.0
Baljit Singh,7,124,118,6,5.71,19.666666666666668,20.666666666666668
Bashar Khan,4,77,52,6,4.05,8.666666666666666,12.833333333333334
Bashir Shah,8,171,161,11,5.65,14.636363636363637,15.545454545454545
Basil Hameed,21,266,329,18,7.42,18.27777777777778,14.777777777777779
Basil Thampi,25,539,862,26,9.6,33.15384615384615,20.73076923076923
Basir Ahamad,1,24,30,2,7.5,15.0,12.0
Baz Aybui,8,125,140,8,6.72,17.5,15.625
Bhargav Narasimha,1,7,6,1,5.14,6.0,7.0
Bhumeshswar Jagroo,2,16,17,0,6.38,,
Bilal Aftab,1,12,14,1,7.0,14.0,12.0
Bilal Asif,1,12,19,0,9.5,,
Bilal Hassun,26,572,659,43,6.91,15.325581395348838,13.30232558139535
Bilal Khan,56,1261,1368,93,6.51,14.709677419354838,13.559139784946236
Bilal Muhammad,22,548,586,31,6.42,18.903225806451612,17.677419354838708
Bilal Safdar,3,66,63,3,5.73,21.0,22.0
Bilal Tahir,2,43,41,2,5.72,20.5,21.5
Bilal Zalmai,3,76,73,5,5.76,14.6,15.2
Bilawal Bhatti,20,399,549,15,8.26,36.6,26.6
Bipin Kumar,4,77,84,2,6.55,42.0,38.5
Bipul Sharma,28,436,581,22,8.0,26.40909090909091,19.818181818181817
Bishawnath Halder,5,99,110,2,6.67,55.0,49.5
Bukhar Illikkal,7,129,138,4,6.42,34.5,32.25
C Archibald,2,27,37,0,8.22,,
C Bah,8,122,113,4,5.56,28.25,30.5
C Bosch,32,607,891,25,8.81,35.64,24.28
C Campher,38,679,894,31,7.9,28.838709677419356,21.903225806451612
C Chatphaisan,6,83,70,5,5.06,14.0,16.6
C Classen,4,55,75,1,8.18,75.0,55.0
C Connolly,2,12,17,0,8.5,,
C Dickson,5,116,168,4,8.69,42.0,29.0
C Floyd,4,66,102,2,9.27,51.0,33.0
C Ganapathy,1,6,13,0,13.0,,
C Green,24,377,571,13,9.09,43.92307692307692,29.0
C Hemraj,24,231,275,11,7.14,25.0,21.0
C Jonker,3,18,30,1,10.0,30.0,18.0
C Karunaratne,39,714,961,26,8.08,36.96153846153846,27.46153846153846
C Kellaway,1,7,10,0,8.57,,
C Kyewuta,18,403,420,25,6.25,16.8,16.12
C Lamont,4,88,129,3,8.8,43.0,29.333333333333332
C Liebenberg,1,12,14,0,7.0,,
C McKerr,16,272,446,13,9.84,34.30769230769231,20.923076923076923
C Munro,52,556,820,29,8.85,28.275862068965516,19.17241379310345
C Nanda,3,50,58,2,6.96,29.0,25.0
C Olphert,2,37,65,0,10.54,,
C Outerbridge,4,57,51,4,5.37,12.75,14.25
C Overton,79,1570,2241,85,8.56,26.36470588235294,18.470588235294116
C Pengkumta,9,130,144,6,6.65,24.0,21.666666666666668
C Pervez,3,43,50,3,6.98,16.666666666666668,14.333333333333334
C Pietersen,2,40,45,2,6.75,22.5,20.0
C Rububagumya,34,589,673,39,6.86,17.256410256410255,15.102564102564102
C Rumistrzewicz,14,318,252,20,4.75,12.6,15.9
C Rushworth,52,1061,1378,49,7.79,28.122448979591837,21.653061224489797
C Sakariya,20,483,645,21,8.01,30.714285714285715,23.0
C Seleka,14,248,291,16,7.04,18.1875,15.5
C Smith,5,87,91,4,6.28,22.75,21.75
C Udekwe,13,274,194,19,4.25,10.210526315789474,14.421052631578947
C Valente,12,214,321,8,9.0,40.125,26.75
C Viljoen,19,397,461,33,6.97,13.969696969696969,12.030303030303031
C Waiswa,6,120,145,10,7.25,14.5,12.0
C Wright,12,236,277,15,7.04,18.466666666666665,15.733333333333333
C Zavoiu,6,50,68,3,8.16,22.666666666666668,16.666666666666668
C de Grandhomme,96,1380,2063,53,8.97,38.924528301886795,26.037735849056602
C le Roux,1,1,0,1,0.0,0.0,1.0
CA Dry,4,76,118,3,9.32,39.333333333333336,25.333333333333332
CA Ingram,65,920,1211,39,7.9,31.05128205128205,23.58974358974359
CA Liyanage,1,6,14,0,14.0,,
CA Lynn,3,48,52,3,6.5,17.333333333333332,16.0
CA Rose,56,961,1327,31,8.29,42.806451612903224,31.0
CA Soper,16,305,367,20,7.22,18.35,15.25
CA Young,51,1060,1410,63,7.98,22.38095238095238,16.825396825396826
CAH Stevenson,7,116,170,6,8.79,28.333333333333332,19.333333333333332
CAJ Meschede,56,913,1234,45,8.11,27.42222222222222,20.288888888888888
CAJ Morris,30,603,948,32,9.43,29.625,18.84375
CAK Rajitha,18,420,626,17,8.94,36.8235294117647,24.705882352941178
CAK Walton,1,7,7,0,6.0,,
CB Mpofu,29,677,1021,32,9.05,31.90625,21.15625
CB Roposo,6,107,97,11,5.44,8.818181818181818,9.727272727272727
CB Sole,11,252,421,10,10.02,42.1,25.2
CBRLS Kumara,25,576,787,39,8.2,20.17948717948718,14.76923076923077
CC Blake,3,52,50,1,5.77,50.0,52.0
CD Barnwell,19,218,350,9,9.63,38.888888888888886,24.22222222222222
CD Hinchliffe,26,363,486,19,8.03,25.57894736842105,19.105263157894736
CD Nash,20,266,355,10,8.01,35.5,26.6
CD de Lange,7,167,176,12,6.32,14.666666666666666,13.916666666666666
CDJ Dent,7,48,71,3,8.88,23.666666666666668,16.0
